State,Victims
nevada,267
pennsylvania,56
florida,271
ohio,53
washington,112
texas,267
missouri,27
maryland,9
virginia,89
illinois,85
alabama,62
new mexico,19
tennessee,30
north carolina,59
texas,267
kentucky,42
georgia,92
florida,271
new jersey,17
michigan,56
kansas,47
california,389
massachusetts,27
arizona,73
mississippi,33
new york,100
louisiana,50
delaware,5
nebraska,26
colorado,148
minnesota,31
maine,3
oregon,58
south dakota,5
south carolina,39
wisconsin,59
montana,8
indiana,5
oklahoma,36
idaho,4
west virginia,4
district of columbia,15
connecticut,44
arkansas,18
utah,12
vermont,4
hawaii,7
alaska,4
wyoming,4
iowa,6
