State,Highest_Victims,Lowest_Victims
nevada,585,3
pennsylvania,11,3
florida,102,3
ohio,12,3
washington,27,3
texas,48,3
missouri,8,4
maryland,5,4
virginia,55,3
illinois,26,4
alabama,16,3
new mexico,5,3
tennessee,7,3
north carolina,12,3
texas,48,3
kentucky,20,3
georgia,21,3
florida,102,3
new jersey,5,3
michigan,9,3
kansas,17,4
california,40,3
massachusetts7,7,6
arizona,19,3
mississippi,15,3
new york,25,4
louisiana,22,3
delaware,5,5
nebraska,13,5
colorado,82,3
minnesota,14,4
maine,3,3
oregon,29,3
south dakota,5,5
south carolina,11,4
wisconsin,11,3
montana,4,4
indiana,5,5
oklahoma,20,3
idaho,4,4
west virginia,4,4
district of columbia,15,15
connecticut,29,4
arkansas,15,3
utah,9,3
vermont,4,4
hawaii,7,7
alaska,4,4
wyoming,4,4
iowa,6,6
